hero1_nick;hero2_nick;hero1_name;hero2_name
INVISIBLE WOMAN;THING;SUE ;BENJAMIN J. GR
CAPTAIN AMERICA;THING;;BENJAMIN J. GR
NOVA;THING;RICHARD RIDER;BENJAMIN J. GR
THING;WONDER MAN;BENJAMIN J. GR;SIMON WIL
THING;WOLVERINE;BENJAMIN J. GR;LOGAN 
SHE-HULK;THING;JENNIFER WA;BENJAMIN J. GR
SILVER SURFER;THING;NORRIN;BENJAMIN J. GR
THING;VISION ;BENJAMIN J. GR;
PSYLOCKE;THING;ELISABETH B;BENJAMIN J. GR
MARVEL GIRL;THING;JEAN GRE;BENJAMIN J. GR
STORM;THING;ORORO MUNROE S;BENJAMIN J. GR
MR. FANTASTIC;THING;REED R;BENJAMIN J. GR
ANGEL;THING;WARREN KENNETH;BENJAMIN J. GR
IRON MAN;THING;TONY STARK ;BENJAMIN J. GR
BLACK PANTHER;THING;T'CHAL;BENJAMIN J. GR
SCARLET WITCH;THING;WANDA ;BENJAMIN J. GR
CAPTAIN AMERICA;SCARLET WITCH;;WANDA 
NOVA;SCARLET WITCH;RICHARD RIDER;WANDA 
SCARLET WITCH;WONDER MAN;WANDA ;SIMON WIL
SCARLET WITCH;WOLVERINE;WANDA ;LOGAN 
SCARLET WITCH;SHE-HULK;WANDA ;JENNIFER WA
SCARLET WITCH;SILVER SURFER;WANDA ;NORRIN
SCARLET WITCH;VISION ;WANDA ;
PSYLOCKE;SCARLET WITCH;ELISABETH B;WANDA 
MARVEL GIRL;SCARLET WITCH;JEAN GRE;WANDA 
SCARLET WITCH;STORM;WANDA ;ORORO MUNROE S
MR. FANTASTIC;SCARLET WITCH;REED R;WANDA 
ANGEL;SCARLET WITCH;WARREN KENNETH;WANDA 
IRON MAN;SCARLET WITCH;TONY STARK ;WANDA 
BLACK PANTHER;SCARLET WITCH;T'CHAL;WANDA 
BLACK PANTHER;CAPTAIN AMERICA;T'CHAL;
BLACK PANTHER;NOVA;T'CHAL;RICHARD RIDER
BLACK PANTHER;WONDER MAN;T'CHAL;SIMON WIL
BLACK PANTHER;WOLVERINE;T'CHAL;LOGAN 
BLACK PANTHER;SHE-HULK;T'CHAL;JENNIFER WA
BLACK PANTHER;SILVER SURFER;T'CHAL;NORRIN
BLACK PANTHER;VISION ;T'CHAL;
BLACK PANTHER;PSYLOCKE;T'CHAL;ELISABETH B
BLACK PANTHER;MARVEL GIRL;T'CHAL;JEAN GRE
BLACK PANTHER;STORM;T'CHAL;ORORO MUNROE S
BLACK PANTHER;MR. FANTASTIC;T'CHAL;REED R
ANGEL;BLACK PANTHER;WARREN KENNETH;T'CHAL
BLACK PANTHER;IRON MAN;T'CHAL;TONY STARK 
CAPTAIN AMERICA;IRON MAN;;TONY STARK 
IRON MAN;NOVA;TONY STARK ;RICHARD RIDER
IRON MAN;WONDER MAN;TONY STARK ;SIMON WIL
IRON MAN;WOLVERINE;TONY STARK ;LOGAN 
IRON MAN;SHE-HULK;TONY STARK ;JENNIFER WA
IRON MAN;SILVER SURFER;TONY STARK ;NORRIN
IRON MAN;VISION ;TONY STARK ;
IRON MAN;PSYLOCKE;TONY STARK ;ELISABETH B
IRON MAN;MARVEL GIRL;TONY STARK ;JEAN GRE
IRON MAN;STORM;TONY STARK ;ORORO MUNROE S
IRON MAN;MR. FANTASTIC;TONY STARK ;REED R
ANGEL;IRON MAN;WARREN KENNETH;TONY STARK 
ANGEL;CAPTAIN AMERICA;WARREN KENNETH;
ANGEL;NOVA;WARREN KENNETH;RICHARD RIDER
ANGEL;WONDER MAN;WARREN KENNETH;SIMON WIL
ANGEL;WOLVERINE;WARREN KENNETH;LOGAN 
ANGEL;SHE-HULK;WARREN KENNETH;JENNIFER WA
ANGEL;SILVER SURFER;WARREN KENNETH;NORRIN
ANGEL;VISION ;WARREN KENNETH;
ANGEL;PSYLOCKE;WARREN KENNETH;ELISABETH B
ANGEL;MARVEL GIRL;WARREN KENNETH;JEAN GRE
ANGEL;STORM;WARREN KENNETH;ORORO MUNROE S
ANGEL;MR. FANTASTIC;WARREN KENNETH;REED R
CAPTAIN AMERICA;MR. FANTASTIC;;REED R
MR. FANTASTIC;NOVA;REED R;RICHARD RIDER
MR. FANTASTIC;WONDER MAN;REED R;SIMON WIL
MR. FANTASTIC;WOLVERINE;REED R;LOGAN 
MR. FANTASTIC;SHE-HULK;REED R;JENNIFER WA
MR. FANTASTIC;SILVER SURFER;REED R;NORRIN
MR. FANTASTIC;VISION ;REED R;
MR. FANTASTIC;PSYLOCKE;REED R;ELISABETH B
MARVEL GIRL;MR. FANTASTIC;JEAN GRE;REED R
MR. FANTASTIC;STORM;REED R;ORORO MUNROE S
CAPTAIN AMERICA;STORM;;ORORO MUNROE S
NOVA;STORM;RICHARD RIDER;ORORO MUNROE S
STORM;WONDER MAN;ORORO MUNROE S;SIMON WIL
STORM;WOLVERINE;ORORO MUNROE S;LOGAN 
SHE-HULK;STORM;JENNIFER WA;ORORO MUNROE S
SILVER SURFER;STORM;NORRIN;ORORO MUNROE S
STORM;VISION ;ORORO MUNROE S;
PSYLOCKE;STORM;ELISABETH B;ORORO MUNROE S
MARVEL GIRL;STORM;JEAN GRE;ORORO MUNROE S
CAPTAIN AMERICA;MARVEL GIRL;;JEAN GRE
MARVEL GIRL;NOVA;JEAN GRE;RICHARD RIDER
MARVEL GIRL;WONDER MAN;JEAN GRE;SIMON WIL
MARVEL GIRL;WOLVERINE;JEAN GRE;LOGAN 
MARVEL GIRL;SHE-HULK;JEAN GRE;JENNIFER WA
MARVEL GIRL;SILVER SURFER;JEAN GRE;NORRIN
MARVEL GIRL;VISION ;JEAN GRE;
MARVEL GIRL;PSYLOCKE;JEAN GRE;ELISABETH B
CAPTAIN AMERICA;PSYLOCKE;;ELISABETH B
NOVA;PSYLOCKE;RICHARD RIDER;ELISABETH B
PSYLOCKE;WONDER MAN;ELISABETH B;SIMON WIL
PSYLOCKE;WOLVERINE;ELISABETH B;LOGAN 
PSYLOCKE;SHE-HULK;ELISABETH B;JENNIFER WA
PSYLOCKE;SILVER SURFER;ELISABETH B;NORRIN
PSYLOCKE;VISION ;ELISABETH B;
CAPTAIN AMERICA;VISION ;;
NOVA;VISION ;RICHARD RIDER;
VISION ;WONDER MAN;;SIMON WIL
VISION ;WOLVERINE;;LOGAN 
SHE-HULK;VISION ;JENNIFER WA;
SILVER SURFER;VISION ;NORRIN;
CAPTAIN AMERICA;SILVER SURFER;;NORRIN
NOVA;SILVER SURFER;RICHARD RIDER;NORRIN
SILVER SURFER;WONDER MAN;NORRIN;SIMON WIL
SILVER SURFER;WOLVERINE;NORRIN;LOGAN 
SHE-HULK;SILVER SURFER;JENNIFER WA;NORRIN
CAPTAIN AMERICA;SHE-HULK;;JENNIFER WA
NOVA;SHE-HULK;RICHARD RIDER;JENNIFER WA
SHE-HULK;WONDER MAN;JENNIFER WA;SIMON WIL
SHE-HULK;WOLVERINE;JENNIFER WA;LOGAN 
CAPTAIN AMERICA;WOLVERINE;;LOGAN 
NOVA;WOLVERINE;RICHARD RIDER;LOGAN 
WOLVERINE;WONDER MAN;LOGAN ;SIMON WIL
CAPTAIN AMERICA;WONDER MAN;;SIMON WIL
NOVA;WONDER MAN;RICHARD RIDER;SIMON WIL
CAPTAIN AMERICA;NOVA;;RICHARD RIDER
HAWK;IRON MAN;;TONY STARK 
DR. STRANGE;HULK;STEPHEN ;DR. ROBERT BRUC
HULK;QUICKSILVER;DR. ROBERT BRUC;PIETRO M
CRYSTAL [INHUMAN];HULK;;DR. ROBERT BRUC
CRYSTAL [INHUMAN];QUICKSILVER;;PIETRO M
CYCLOPS;HULK;SCOTT SUMMER;DR. ROBERT BRUC
CYCLOPS;MARVEL GIRL;SCOTT SUMMER;JEAN GRE
CYCLOPS;PROFESSOR X;SCOTT SUMMER;CHARLES 
HULK;PROFESSOR X;DR. ROBERT BRUC;CHARLES 
MARVEL GIRL;PROFESSOR X;JEAN GRE;CHARLES 
HULK;MARVEL GIRL;DR. ROBERT BRUC;JEAN GRE
ROBERTSON, JOE;SPIDER-MAN;;PETER PAR
SPIDER-MAN;WATSON-PARKER, MARY ;PETER PAR;
JAMESON, J. JONAH;SPIDER-MAN;;PETER PAR
ICEMAN;SPIDER-MAN;ROBERT BOBBY ;PETER PAR
SPIDER-MAN;WATSON-PARKER, MARY ;PETER PAR;
JAMESON, J. JONAH;WATSON-PARKER, MARY ;;
ICEMAN;WATSON-PARKER, MARY ;ROBERT BOBBY ;
ICEMAN;JAMESON, J. JONAH;ROBERT BOBBY ;
JAMESON, J. JONAH;THOR;;DR. DONALD BLAK
SPIDER-MAN;THOR;PETER PAR;DR. DONALD BLAK
JAMESON, J. JONAH;SPIDER-MAN;;PETER PAR
ANGEL;ICEMAN;WARREN KENNETH;ROBERT BOBBY 
ANGEL;BEAST;WARREN KENNETH;HENRY &HANK& P
BEAST;ICEMAN;HENRY &HANK& P;ROBERT BOBBY 
ANGEL;BEAST;WARREN KENNETH;HENRY &HANK& P
ANGEL;ICEMAN;WARREN KENNETH;ROBERT BOBBY 
BEAST;ICEMAN;HENRY &HANK& P;ROBERT BOBBY 
BEAST;ICEMAN;HENRY &HANK& P;ROBERT BOBBY 
ANGEL;ICEMAN;WARREN KENNETH;ROBERT BOBBY 
HUMAN TORCH;ICEMAN;JOHNNY S;ROBERT BOBBY 
ICEMAN;MR. FANTASTIC;ROBERT BOBBY ;REED R
BEAST;MR. FANTASTIC;HENRY &HANK& P;REED R
ANGEL;MR. FANTASTIC;WARREN KENNETH;REED R
HUMAN TORCH;MR. FANTASTIC;JOHNNY S;REED R
BEAST;HUMAN TORCH;HENRY &HANK& P;JOHNNY S
ANGEL;HUMAN TORCH;WARREN KENNETH;JOHNNY S
ANGEL;BEAST;WARREN KENNETH;HENRY &HANK& P
SPIDER-MAN;WATSON-PARKER, MARY ;PETER PAR;
COLOSSUS II;ROGUE ;PETER RA;
COLOSSUS II;WOLVERINE;PETER RA;LOGAN 
COLOSSUS II;STORM;PETER RA;ORORO MUNROE S
COLOSSUS II;PSYLOCKE;PETER RA;ELISABETH B
COLOSSUS II;HAVOK;PETER RA;ALEX SUMMERS 
HAVOK;ROGUE ;ALEX SUMMERS ;
HAVOK;WOLVERINE;ALEX SUMMERS ;LOGAN 
HAVOK;STORM;ALEX SUMMERS ;ORORO MUNROE S
HAVOK;PSYLOCKE;ALEX SUMMERS ;ELISABETH B
PSYLOCKE;ROGUE ;ELISABETH B;
PSYLOCKE;WOLVERINE;ELISABETH B;LOGAN 
PSYLOCKE;STORM;ELISABETH B;ORORO MUNROE S
ROGUE ;STORM;;ORORO MUNROE S
STORM;WOLVERINE;ORORO MUNROE S;LOGAN 
ROGUE ;WOLVERINE;;LOGAN 
COLOSSUS II;WOLVERINE;PETER RA;LOGAN 
HAVOK;WOLVERINE;ALEX SUMMERS ;LOGAN 
STORM;WOLVERINE;ORORO MUNROE S;LOGAN 
PSYLOCKE;WOLVERINE;ELISABETH B;LOGAN 
ROGUE ;WOLVERINE;;LOGAN 
COLOSSUS II;ROGUE ;PETER RA;
HAVOK;ROGUE ;ALEX SUMMERS ;
ROGUE ;STORM;;ORORO MUNROE S
PSYLOCKE;ROGUE ;ELISABETH B;
COLOSSUS II;PSYLOCKE;PETER RA;ELISABETH B
HAVOK;PSYLOCKE;ALEX SUMMERS ;ELISABETH B
PSYLOCKE;STORM;ELISABETH B;ORORO MUNROE S
COLOSSUS II;STORM;PETER RA;ORORO MUNROE S
HAVOK;STORM;ALEX SUMMERS ;ORORO MUNROE S
COLOSSUS II;HAVOK;PETER RA;ALEX SUMMERS 
HAVOK;MARVEL GIRL;ALEX SUMMERS ;JEAN GRE
MARVEL GIRL;STORM;JEAN GRE;ORORO MUNROE S
MARVEL GIRL;PSYLOCKE;JEAN GRE;ELISABETH B
CYCLOPS;MARVEL GIRL;SCOTT SUMMER;JEAN GRE
COLOSSUS II;MARVEL GIRL;PETER RA;JEAN GRE
MARVEL GIRL;ROGUE ;JEAN GRE;
MARVEL GIRL;WOLVERINE;JEAN GRE;LOGAN 
HAVOK;WOLVERINE;ALEX SUMMERS ;LOGAN 
STORM;WOLVERINE;ORORO MUNROE S;LOGAN 
PSYLOCKE;WOLVERINE;ELISABETH B;LOGAN 
CYCLOPS;WOLVERINE;SCOTT SUMMER;LOGAN 
COLOSSUS II;WOLVERINE;PETER RA;LOGAN 
ROGUE ;WOLVERINE;;LOGAN 
HAVOK;ROGUE ;ALEX SUMMERS ;
ROGUE ;STORM;;ORORO MUNROE S
PSYLOCKE;ROGUE ;ELISABETH B;
CYCLOPS;ROGUE ;SCOTT SUMMER;
COLOSSUS II;ROGUE ;PETER RA;
COLOSSUS II;HAVOK;PETER RA;ALEX SUMMERS 
COLOSSUS II;STORM;PETER RA;ORORO MUNROE S
COLOSSUS II;PSYLOCKE;PETER RA;ELISABETH B
COLOSSUS II;CYCLOPS;PETER RA;SCOTT SUMMER
CYCLOPS;HAVOK;SCOTT SUMMER;ALEX SUMMERS 
CYCLOPS;STORM;SCOTT SUMMER;ORORO MUNROE S
CYCLOPS;PSYLOCKE;SCOTT SUMMER;ELISABETH B
HAVOK;PSYLOCKE;ALEX SUMMERS ;ELISABETH B
PSYLOCKE;STORM;ELISABETH B;ORORO MUNROE S
HAVOK;STORM;ALEX SUMMERS ;ORORO MUNROE S
COLOSSUS II;WOLVERINE;PETER RA;LOGAN 
STORM;WOLVERINE;ORORO MUNROE S;LOGAN 
ROGUE ;WOLVERINE;;LOGAN 
PSYLOCKE;WOLVERINE;ELISABETH B;LOGAN 
HAVOK;WOLVERINE;ALEX SUMMERS ;LOGAN 
COLOSSUS II;HAVOK;PETER RA;ALEX SUMMERS 
HAVOK;STORM;ALEX SUMMERS ;ORORO MUNROE S
HAVOK;ROGUE ;ALEX SUMMERS ;
HAVOK;PSYLOCKE;ALEX SUMMERS ;ELISABETH B
COLOSSUS II;PSYLOCKE;PETER RA;ELISABETH B
PSYLOCKE;STORM;ELISABETH B;ORORO MUNROE S
PSYLOCKE;ROGUE ;ELISABETH B;
COLOSSUS II;ROGUE ;PETER RA;
ROGUE ;STORM;;ORORO MUNROE S
COLOSSUS II;STORM;PETER RA;ORORO MUNROE S
ROGUE ;STORM;;ORORO MUNROE S
COLOSSUS II;STORM;PETER RA;ORORO MUNROE S
CANNONBALL II;STORM;SAM GU;ORORO MUNROE S
STORM;WOLVERINE;ORORO MUNROE S;LOGAN 
HAVOK;STORM;ALEX SUMMERS ;ORORO MUNROE S
PSYLOCKE;STORM;ELISABETH B;ORORO MUNROE S
PSYLOCKE;ROGUE ;ELISABETH B;
COLOSSUS II;PSYLOCKE;PETER RA;ELISABETH B
CANNONBALL II;PSYLOCKE;SAM GU;ELISABETH B
PSYLOCKE;WOLVERINE;ELISABETH B;LOGAN 
HAVOK;PSYLOCKE;ALEX SUMMERS ;ELISABETH B
HAVOK;ROGUE ;ALEX SUMMERS ;
COLOSSUS II;HAVOK;PETER RA;ALEX SUMMERS 
CANNONBALL II;HAVOK;SAM GU;ALEX SUMMERS 
HAVOK;WOLVERINE;ALEX SUMMERS ;LOGAN 
ROGUE ;WOLVERINE;;LOGAN 
COLOSSUS II;WOLVERINE;PETER RA;LOGAN 
CANNONBALL II;WOLVERINE;SAM GU;LOGAN 
CANNONBALL II;ROGUE ;SAM GU;
CANNONBALL II;COLOSSUS II;SAM GU;PETER RA
COLOSSUS II;ROGUE ;PETER RA;
COLOSSUS II;ROGUE ;PETER RA;
COLOSSUS II;WOLVERINE;PETER RA;LOGAN 
COLOSSUS II;STORM;PETER RA;ORORO MUNROE S
COLOSSUS II;HAVOK;PETER RA;ALEX SUMMERS 
CANNONBALL II;COLOSSUS II;SAM GU;PETER RA
CANNONBALL II;ROGUE ;SAM GU;
CANNONBALL II;WOLVERINE;SAM GU;LOGAN 
CANNONBALL II;STORM;SAM GU;ORORO MUNROE S
CANNONBALL II;HAVOK;SAM GU;ALEX SUMMERS 
HAVOK;ROGUE ;ALEX SUMMERS ;
HAVOK;WOLVERINE;ALEX SUMMERS ;LOGAN 
HAVOK;STORM;ALEX SUMMERS ;ORORO MUNROE S
ROGUE ;STORM;;ORORO MUNROE S
STORM;WOLVERINE;ORORO MUNROE S;LOGAN 
ROGUE ;WOLVERINE;;LOGAN 
PSYLOCKE;STORM;ELISABETH B;ORORO MUNROE S
PSYLOCKE;WOLVERINE;ELISABETH B;LOGAN 
PSYLOCKE;ROGUE ;ELISABETH B;
HAVOK;PSYLOCKE;ALEX SUMMERS ;ELISABETH B
COLOSSUS II;PSYLOCKE;PETER RA;ELISABETH B
COLOSSUS II;STORM;PETER RA;ORORO MUNROE S
COLOSSUS II;WOLVERINE;PETER RA;LOGAN 
COLOSSUS II;ROGUE ;PETER RA;
COLOSSUS II;HAVOK;PETER RA;ALEX SUMMERS 
HAVOK;STORM;ALEX SUMMERS ;ORORO MUNROE S
HAVOK;WOLVERINE;ALEX SUMMERS ;LOGAN 
HAVOK;ROGUE ;ALEX SUMMERS ;
ROGUE ;STORM;;ORORO MUNROE S
ROGUE ;WOLVERINE;;LOGAN 
STORM;WOLVERINE;ORORO MUNROE S;LOGAN 
COLOSSUS II;WOLVERINE;PETER RA;LOGAN 
COLOSSUS II;HAVOK;PETER RA;ALEX SUMMERS 
COLOSSUS II;STORM;PETER RA;ORORO MUNROE S
COLOSSUS II;ROGUE ;PETER RA;
COLOSSUS II;PSYLOCKE;PETER RA;ELISABETH B
PSYLOCKE;WOLVERINE;ELISABETH B;LOGAN 
HAVOK;PSYLOCKE;ALEX SUMMERS ;ELISABETH B
PSYLOCKE;STORM;ELISABETH B;ORORO MUNROE S
PSYLOCKE;ROGUE ;ELISABETH B;
ROGUE ;WOLVERINE;;LOGAN 
HAVOK;ROGUE ;ALEX SUMMERS ;
ROGUE ;STORM;;ORORO MUNROE S
STORM;WOLVERINE;ORORO MUNROE S;LOGAN 
HAVOK;STORM;ALEX SUMMERS ;ORORO MUNROE S
HAVOK;WOLVERINE;ALEX SUMMERS ;LOGAN 
COLOSSUS II;ROGUE ;PETER RA;
COLOSSUS II;STORM;PETER RA;ORORO MUNROE S
COLOSSUS II;WOLVERINE;PETER RA;LOGAN 
COLOSSUS II;HAVOK;PETER RA;ALEX SUMMERS 
COLOSSUS II;PSYLOCKE;PETER RA;ELISABETH B
PSYLOCKE;ROGUE ;ELISABETH B;
PSYLOCKE;STORM;ELISABETH B;ORORO MUNROE S
PSYLOCKE;WOLVERINE;ELISABETH B;LOGAN 
HAVOK;PSYLOCKE;ALEX SUMMERS ;ELISABETH B
HAVOK;ROGUE ;ALEX SUMMERS ;
HAVOK;STORM;ALEX SUMMERS ;ORORO MUNROE S
HAVOK;WOLVERINE;ALEX SUMMERS ;LOGAN 
ROGUE ;WOLVERINE;;LOGAN 
STORM;WOLVERINE;ORORO MUNROE S;LOGAN 
ROGUE ;STORM;;ORORO MUNROE S
CAPTAIN AMERICA;THOR;;DR. DONALD BLAK
CAPTAIN AMERICA;IRON MAN;;TONY STARK 
CAPTAIN AMERICA;SILVER SURFER;;NORRIN
SILVER SURFER;THOR;NORRIN;DR. DONALD BLAK
IRON MAN;SILVER SURFER;TONY STARK ;NORRIN
IRON MAN;THOR;TONY STARK ;DR. DONALD BLAK
CAPTAIN AMERICA;WASP;;JANET VAN DYNE 
ANGEL;CAPTAIN AMERICA;WARREN KENNETH;
CAPTAIN AMERICA;JARVIS, EDWIN ;;
CAPTAIN AMERICA;IRON MAN;;TONY STARK 
CAPTAIN AMERICA;THOR;;DR. DONALD BLAK
ANT-MAN;CAPTAIN AMERICA;DR. HENRY J.;
ANT-MAN;WASP;DR. HENRY J.;JANET VAN DYNE 
ANGEL;ANT-MAN;WARREN KENNETH;DR. HENRY J.
ANT-MAN;JARVIS, EDWIN ;DR. HENRY J.;
ANT-MAN;IRON MAN;DR. HENRY J.;TONY STARK 
ANT-MAN;THOR;DR. HENRY J.;DR. DONALD BLAK
THOR;WASP;DR. DONALD BLAK;JANET VAN DYNE 
ANGEL;THOR;WARREN KENNETH;DR. DONALD BLAK
JARVIS, EDWIN ;THOR;;DR. DONALD BLAK
IRON MAN;THOR;TONY STARK ;DR. DONALD BLAK
IRON MAN;WASP;TONY STARK ;JANET VAN DYNE 
ANGEL;IRON MAN;WARREN KENNETH;TONY STARK 
IRON MAN;JARVIS, EDWIN ;TONY STARK ;
JARVIS, EDWIN ;WASP;;JANET VAN DYNE 
ANGEL;JARVIS, EDWIN ;WARREN KENNETH;
ANGEL;WASP;WARREN KENNETH;JANET VAN DYNE 
ANT-MAN;CAPTAIN AMERICA;DR. HENRY J.;
ANT-MAN;THOR;DR. HENRY J.;DR. DONALD BLAK
ANT-MAN;JARVIS, EDWIN ;DR. HENRY J.;
ANT-MAN;IRON MAN;DR. HENRY J.;TONY STARK 
ANT-MAN;WASP;DR. HENRY J.;JANET VAN DYNE 
CAPTAIN AMERICA;WASP;;JANET VAN DYNE 
THOR;WASP;DR. DONALD BLAK;JANET VAN DYNE 
JARVIS, EDWIN ;WASP;;JANET VAN DYNE 
IRON MAN;WASP;TONY STARK ;JANET VAN DYNE 
CAPTAIN AMERICA;IRON MAN;;TONY STARK 
IRON MAN;THOR;TONY STARK ;DR. DONALD BLAK
IRON MAN;JARVIS, EDWIN ;TONY STARK ;
CAPTAIN AMERICA;JARVIS, EDWIN ;;
JARVIS, EDWIN ;THOR;;DR. DONALD BLAK
CAPTAIN AMERICA;THOR;;DR. DONALD BLAK
MR. FANTASTIC;THING;REED R;BENJAMIN J. GR
CAPTAIN AMERICA;MR. FANTASTIC;;REED R
INVISIBLE WOMAN;MR. FANTASTIC;SUE ;REED R
HUMAN TORCH;MR. FANTASTIC;JOHNNY S;REED R
