hero1_nick,hero2_nick,weight
CAPTAIN AMERICA,"JARVIS, EDWIN ",0.32705248990578734
SPIDER-MAN,"THOMPSON, EUGENE FLA",0.32166890982503366
ANT-MAN,VISION ,0.3203230148048452
THOR,WASP,0.3189771197846568
COLOSSUS II,PROFESSOR X,0.3162853297442799
"JAMESON, J. JONAH","WATSON-PARKER, MARY ",0.3149394347240915
ROGUE ,WOLVERINE,0.31090174966352624
INVISIBLE WOMAN,"RICHARDS, FRANKLIN B",0.3082099596231494
MR. FANTASTIC,"RICHARDS, FRANKLIN B",0.30551816958277256
FANDRAL [ASGARDIAN],HOGUN [ASGARDIAN],0.3041722745625841
VISION ,WONDER MAN,0.3028263795423957
ROGUE ,STORM,0.3001345895020188
HOGUN [ASGARDIAN],VOLSTAGG,0.29475100942126514
FANDRAL [ASGARDIAN],VOLSTAGG,0.29071332436069985
CAPTAIN AMERICA,WONDER MAN,0.28936742934051146
MARVEL GIRL,PROFESSOR X,0.28667563930013457
HAWK,THOR,0.2812920592193809
QUICKSILVER,SCARLET WITCH,0.2812920592193809
BALDER [ASGARDIAN],THOR,0.27994616419919244
"JAMESON, J. JONAH","PARKER, MAY",0.27860026917900405
DR. STRANGE,WONG,0.27860026917900405
HULK,"ROSS, GEN. THADDEUS ",0.2772543741588156
HAWK,WONDER MAN,0.2759084791386272
COLOSSUS II,ROGUE ,0.27456258411843876
COLOSSUS II,CYCLOPS,0.27456258411843876
SIF,THOR,0.2732166890982503
HUMAN TORCH,"RICHARDS, FRANKLIN B",0.27052489905787347
"RICHARDS, FRANKLIN B",THING,0.2651413189771198
COLOSSUS II,SHADOWCAT,0.26379542395693134
ANT-MAN,WONDER MAN,0.2597577388963661
ANT-MAN,THOR,0.253028263795424
IRON MAN IV,IRON MAN,0.253028263795424
NIGHTCRAWLER,PROFESSOR X,0.253028263795424
CAPTAIN AMERICA,FALCON,0.253028263795424
BEAST,PROFESSOR X,0.25168236877523553
"PARKER, MAY","WATSON-PARKER, MARY ",0.25168236877523553
THOR,VOLSTAGG,0.2503364737550471
"ROBERTSON, JOE","WATSON-PARKER, MARY ",0.2489905787348587
FANDRAL [ASGARDIAN],THOR,0.2489905787348587
HOGUN [ASGARDIAN],THOR,0.2489905787348587
WASP,WONDER MAN,0.2489905787348587
ANGEL,PROFESSOR X,0.2449528936742934
IRON MAN,"JARVIS, EDWIN ",0.2449528936742934
"JARVIS, EDWIN ",VISION ,0.24360699865410498
CAPTAIN AMERICA,HERCULES [GREEK GOD],0.24360699865410498
LOKI [ASGARDIAN],THOR,0.24360699865410498
"OSBORN, HARRY",SPIDER-MAN,0.24226110363391656
"MASTERS, ALICIA REIS",THING,0.2395693135935397
CANNONBALL II,SUNSPOT,0.23822341857335128
"JAMESON, J. JONAH","LEEDS, BETTY BRANT",0.23822341857335128
CLEA,DR. STRANGE,0.23822341857335128
ICEMAN,PROFESSOR X,0.23283983849259757
HULK,"JONES, RICHARD MILHO",0.23149394347240915
CAPTAIN AMERICA,SHE-HULK,0.23014804845222073
BEAST,CAPTAIN AMERICA,0.22611036339165544
SHADOWCAT,WOLVERINE,0.22611036339165544
CAPTAIN AMERICA,THING,0.22476446837146702
CAPTAIN AMERICA,MR. FANTASTIC,0.22207267833109018
CAPTAIN AMERICA,QUICKSILVER,0.22072678331090176
PSYLOCKE,WOLVERINE,0.2193808882907133
"DUGAN, TIMOTHY ALOYI","FURY, COL. NICHOLAS ",0.2193808882907133
BALDER [ASGARDIAN],SIF,0.2193808882907133
MARVEL GIRL,STORM,0.21668909825033647
"JARVIS, EDWIN ",WASP,0.21399730820995963
"JARVIS, EDWIN ",THOR,0.21399730820995963
BALDER [ASGARDIAN],ODIN [ASGARDIAN],0.2126514131897712
KA-ZAR,ZABU,0.2126514131897712
CAPTAIN AMERICA,SUB-MARINER,0.21130551816958276
CYCLOPS,NIGHTCRAWLER,0.21130551816958276
CAPTAIN AMERICA,HUMAN TORCH,0.21130551816958276
BALDER [ASGARDIAN],VOLSTAGG,0.20995962314939434
ODIN [ASGARDIAN],SIF,0.20861372812920592
CAPTAIN AMERICA,"FURY, COL. NICHOLAS ",0.2072678331090175
DAREDEVIL,"PAGE, KAREN",0.2072678331090175
BALDER [ASGARDIAN],FANDRAL [ASGARDIAN],0.20592193808882908
DR. STRANGE,HULK,0.20592193808882908
BALDER [ASGARDIAN],HOGUN [ASGARDIAN],0.20592193808882908
SHADOWCAT,STORM,0.20592193808882908
"JARVIS, EDWIN ",SCARLET WITCH,0.20457604306864063
HAWK,QUICKSILVER,0.2032301480484522
CANNONBALL II,WOLFSBANE,0.20053835800807537
CAPTAIN AMERICA,INVISIBLE WOMAN,0.19919246298788695
"BANNER, BETTY ROSS T","ROSS, GEN. THADDEUS ",0.19784656796769853
CANNONBALL II,MIRAGE II,0.19784656796769853
HUMAN TORCH,SPIDER-MAN,0.19650067294751009
HAWK,MOCKINGBIRD,0.19650067294751009
BEAST,WOLVERINE,0.19515477792732167
PSYLOCKE,ROGUE ,0.19515477792732167
BEAST,SCARLET WITCH,0.19380888290713325
CAPTAIN AMERICA,SPIDER-MAN,0.19380888290713325
MARVEL GIRL,WOLVERINE,0.19380888290713325
"JAMESON, J. JONAH","THOMPSON, EUGENE FLA",0.19246298788694483
BEAST,VISION ,0.19246298788694483
MIRAGE II,SUNSPOT,0.19246298788694483
BLACK WIDOW,CAPTAIN AMERICA,0.1911170928667564
"MASTERS, ALICIA REIS",MR. FANTASTIC,0.1911170928667564
BEAST,IRON MAN,0.18977119784656796
HUMAN TORCH,"MASTERS, ALICIA REIS",0.18842530282637954
QUICKSILVER,VISION ,0.18842530282637954
INVISIBLE WOMAN,"MASTERS, ALICIA REIS",0.18842530282637954
BLACK WIDOW,HERCULES [GREEK GOD],0.1857335127860027
BEAST,STORM,0.1857335127860027
"OSBORN, LIZ ALLAN",SPIDER-MAN,0.18438761776581428
HOGUN [ASGARDIAN],SIF,0.18304172274562583
HOGUN [ASGARDIAN],ODIN [ASGARDIAN],0.1816958277254374
FANDRAL [ASGARDIAN],SIF,0.1816958277254374
ODIN [ASGARDIAN],VOLSTAGG,0.180349932705249
FANDRAL [ASGARDIAN],ODIN [ASGARDIAN],0.180349932705249
PSYLOCKE,STORM,0.17900403768506057
SHE-HULK,WASP,0.17765814266487215
SIF,VOLSTAGG,0.17631224764468373
LOKI [ASGARDIAN],ODIN [ASGARDIAN],0.17631224764468373
BLACK PANTHER,VISION ,0.17631224764468373
PROFESSOR X,ROGUE ,0.17496635262449528
BLACK PANTHER,CAPTAIN AMERICA,0.17496635262449528
SUNSPOT,WOLFSBANE,0.17496635262449528
NIGHTCRAWLER,ROGUE ,0.17362045760430686
MR. FANTASTIC,THOR,0.17227456258411844
IRON MAN,THING,0.17227456258411844
GORGON [INHUMAN],KARNAK [INHUMAN],0.17227456258411844
HAVOK,POLARIS,0.17227456258411844
ANT-MAN,QUICKSILVER,0.17092866756393002
IRON MAN,MR. FANTASTIC,0.17092866756393002
SPIDER-MAN,"WATSON, ANNA",0.17092866756393002
ANGEL,STORM,0.1695827725437416
"LEEDS, BETTY BRANT","WATSON-PARKER, MARY ",0.1695827725437416
HUMAN TORCH,SHE-HULK,0.1695827725437416
SPIDER-MAN,THING,0.16823687752355315
CAPTAIN AMERICA,"CARTER, SHARON",0.16823687752355315
"CAGE, LUKE",IRON FIST,0.16823687752355315
THING,THOR,0.16823687752355315
THOR,WONDER MAN,0.16689098250336473
PROFESSOR X,SHADOWCAT,0.16689098250336473
QUICKSILVER,WASP,0.1655450874831763
"LEEDS, BETTY BRANT","THOMPSON, EUGENE FLA",0.1655450874831763
HUMAN TORCH,THOR,0.1655450874831763
BOOMER,CANNONBALL II,0.1655450874831763
"BANNER, BETTY ROSS T","JONES, RICHARD MILHO",0.1641991924629879
ANGEL,WOLVERINE,0.1641991924629879
SHE-HULK,THOR,0.1641991924629879
INVISIBLE WOMAN,SHE-HULK,0.16285329744279947
BLACK BOLT,GORGON [INHUMAN],0.16285329744279947
MIRAGE II,WOLFSBANE,0.16285329744279947
GAMBIT,STORM,0.16285329744279947
CAPTAIN AMERICA,RED SKULL,0.16285329744279947
BLACK WIDOW,DAREDEVIL,0.16285329744279947
MR. FANTASTIC,SHE-HULK,0.16285329744279947
"LEEDS, BETTY BRANT","PARKER, MAY",0.16285329744279947
DR. STRANGE,"NORRISS, SISTER BARB",0.16285329744279947
ICEMAN,STORM,0.16150740242261102
CRYSTAL [INHUMAN],THING,0.16150740242261102
BLACK BOLT,KARNAK [INHUMAN],0.16150740242261102
CYCLOPS,ROGUE ,0.16150740242261102
MR. FANTASTIC,SPIDER-MAN,0.16150740242261102
BLACK PANTHER,IRON MAN,0.1601615074024226
HULK,"TALBOT, GLENN",0.1601615074024226
HAVOK,WOLVERINE,0.1601615074024226
ANT-MAN,"JARVIS, EDWIN ",0.1601615074024226
"THOMPSON, EUGENE FLA","WATSON-PARKER, MARY ",0.1601615074024226
BLACK WIDOW,VISION ,0.1601615074024226
CAPTAIN BRITAIN,MEGGAN,0.1601615074024226
HERCULES [GREEK GOD],VISION ,0.1601615074024226
GAMBIT,ROGUE ,0.1601615074024226
BLACK KNIGHT V,CAPTAIN AMERICA,0.15881561238223418
CRYSTAL [INHUMAN],HUMAN TORCH,0.15881561238223418
BEAST,WASP,0.15881561238223418
CAPTAIN AMERICA,CAPTAIN MARVEL II,0.15881561238223418
DR. DOOM,THING,0.15881561238223418
BLACK BOLT,MEDUSA,0.15881561238223418
GAMBIT,WOLVERINE,0.15746971736204576
HAVOK,STORM,0.15746971736204576
MEGGAN,NIGHTCRAWLER,0.15746971736204576
ANT-MAN,BLACK WIDOW,0.15612382234185734
"HOGAN, VIRGINIA PEPP",IRON MAN,0.15612382234185734
HULK,"NORRISS, SISTER BARB",0.15612382234185734
"PARKER, MAY","THOMPSON, EUGENE FLA",0.15612382234185734
CAPTAIN MARVEL II,WASP,0.15343203230148048
DR. DOOM,MR. FANTASTIC,0.15343203230148048
"OSBORN, HARRY","WATSON-PARKER, MARY ",0.15343203230148048
"NELSON, FRANKLIN FOG","PAGE, KAREN",0.15343203230148048
INVISIBLE WOMAN,IRON MAN,0.15208613728129206
"HUDSON, HEATHER",PUCK,0.15208613728129206
HERCULES [GREEK GOD],THOR,0.15208613728129206
"LEEDS, BETTY BRANT","ROBERTSON, JOE",0.15208613728129206
MEGGAN,SHADOWCAT,0.15208613728129206
DR. DOOM,HUMAN TORCH,0.15208613728129206
GORGON [INHUMAN],MEDUSA,0.15208613728129206
FIRESTAR,JUSTICE II,0.15208613728129206
"HOGAN, HAROLD J. HAP",IRON MAN,0.15208613728129206
KARNAK [INHUMAN],MEDUSA,0.15074024226110364
BLACK KNIGHT V,HERCULES [GREEK GOD],0.15074024226110364
CRYSTAL [INHUMAN],QUICKSILVER,0.14939434724091522
"KINCAID, DR. JANE FO",THOR,0.14939434724091522
BOOMER,SUNSPOT,0.14939434724091522
CAPTAIN AMERICA,HULK,0.1480484522207268
HERCULES [GREEK GOD],WASP,0.1480484522207268
HEIMDALL [ASGARDIAN],THOR,0.1480484522207268
INVISIBLE WOMAN,THOR,0.1480484522207268
"GRANT, GLORIA GLORY",SPIDER-MAN,0.1480484522207268
CYCLOPS,HAVOK,0.14670255720053835
BEAST,WONDER MAN,0.14670255720053835
DOC SAMSON,HULK,0.14670255720053835
IRON MAN,QUICKSILVER,0.14670255720053835
BALDER [ASGARDIAN],LOKI [ASGARDIAN],0.14670255720053835
BANSHEE,CYCLOPS,0.14535666218034993
SPIDER-MAN,"URICH, BEN",0.14535666218034993
CAPTAIN BRITAIN,NIGHTCRAWLER,0.14535666218034993
HUMAN TORCH,IRON MAN,0.1440107671601615
BEAST,GAMBIT,0.1440107671601615
BLACK PANTHER,SCARLET WITCH,0.1440107671601615
TIGRA,WONDER MAN,0.1426648721399731
CAPTAIN BRITAIN,SHADOWCAT,0.1426648721399731
HAWK,"JARVIS, EDWIN ",0.14131897711978467
HEIMDALL [ASGARDIAN],ODIN [ASGARDIAN],0.14131897711978467
BOOMER,THUNDERBIRD II,0.14131897711978467
"PARKER, MAY","ROBERTSON, JOE",0.13997308209959622
HAWK,TIGRA,0.13997308209959622
"JAMESON, J. JONAH","OSBORN, HARRY",0.13997308209959622
HULK,SUB-MARINER,0.13997308209959622
CRYSTAL [INHUMAN],MR. FANTASTIC,0.13997308209959622
MARVEL GIRL,"SUMMERS, NATHAN CHRI",0.13997308209959622
BEAST,ROGUE ,0.1386271870794078
CAPTAIN AMERICA,QUASAR III,0.1386271870794078
"HUDSON, HEATHER",SASQUATCH,0.1386271870794078
COLOSSUS II,PSYLOCKE,0.1386271870794078
MOCKINGBIRD,WONDER MAN,0.1386271870794078
SCARLET WITCH,USAGENT,0.1386271870794078
DAREDEVIL,SPIDER-MAN,0.13728129205921938
NIGHTHAWK II,"NORRISS, SISTER BARB",0.13728129205921938
"ROSS, GEN. THADDEUS ","TALBOT, GLENN",0.13728129205921938
BLACK PANTHER,THOR,0.13728129205921938
KINGPIN,SPIDER-MAN,0.13593539703903096
SUB-MARINER,THING,0.13593539703903096
INVISIBLE WOMAN,SUB-MARINER,0.13593539703903096
SHE-HULK,VISION ,0.13593539703903096
ANGEL,COLOSSUS II,0.13593539703903096
LOCKHEED,NIGHTCRAWLER,0.13593539703903096
BANSHEE,WOLVERINE,0.13593539703903096
DAREDEVIL,KINGPIN,0.13593539703903096
CANNONBALL II,STORM,0.13593539703903096
ROGUE ,SHADOWCAT,0.13458950201884254
BANSHEE,STORM,0.13458950201884254
THING,VISION ,0.13458950201884254
LOCKHEED,SHADOWCAT,0.13324360699865412
ANT-MAN,HERCULES [GREEK GOD],0.13324360699865412
CLEA,WONG,0.13324360699865412
QUICKSILVER,THOR,0.13189771197846567
LOKI [ASGARDIAN],SIF,0.13189771197846567
COLOSSUS II,"MACTAGGERT, MOIRA KI",0.13189771197846567
HULK,HUMAN TORCH,0.13189771197846567
SUNSPOT,WARLOCK III,0.13189771197846567
SCARLET WITCH,THING,0.13189771197846567
BLACK WIDOW,HAWK,0.13189771197846567
HULK,THING,0.13189771197846567
CANNONBALL II,WARLOCK III,0.13055181695827725
"HOGAN, HAROLD J. HAP","HOGAN, VIRGINIA PEPP",0.13055181695827725
HUMAN TORCH,VISION ,0.13055181695827725
SPIDER-MAN CLONE,SPIDER-MAN,0.13055181695827725
LOKI [ASGARDIAN],VOLSTAGG,0.13055181695827725
ICEMAN,WOLVERINE,0.13055181695827725
HULK,NIGHTHAWK II,0.12920592193808883
CLOAK,DAGGER,0.12920592193808883
SHE-HULK,THING,0.12920592193808883
"MACTAGGERT, MOIRA KI",NIGHTCRAWLER,0.12920592193808883
INVISIBLE WOMAN,SPIDER-MAN,0.12920592193808883
CYCLOPS,POLARIS,0.1278600269179004
AURORA,NORTHSTAR,0.1278600269179004
CRYSTAL [INHUMAN],INVISIBLE WOMAN,0.1278600269179004
DR. DOOM,INVISIBLE WOMAN,0.1278600269179004
CANNONBALL II,THUNDERBIRD II,0.1278600269179004
CANNONBALL II,WOLVERINE,0.1278600269179004
FALCON,REDWING,0.1278600269179004
"BANNER, BETTY ROSS T","TALBOT, GLENN",0.1278600269179004
HOGUN [ASGARDIAN],LOKI [ASGARDIAN],0.126514131897712
HEIMDALL [ASGARDIAN],HOGUN [ASGARDIAN],0.126514131897712
SPIDER-MAN,THOR,0.126514131897712
COLOSSUS II,MARVEL GIRL,0.126514131897712
HUMAN TORCH,LYJA LAZERFIST [SKRU,0.126514131897712
MEDUSA,THING,0.126514131897712
BLACK PANTHER,HAWK,0.126514131897712
ANT-MAN,BEAST,0.126514131897712
MR. FANTASTIC,WASP,0.126514131897712
BLACK WIDOW,SCARLET WITCH,0.126514131897712
GAMBIT,PROFESSOR X,0.126514131897712
FANDRAL [ASGARDIAN],LOKI [ASGARDIAN],0.126514131897712
FANDRAL [ASGARDIAN],HEIMDALL [ASGARDIAN],0.12516823687752354
BLACK WIDOW,IRON MAN,0.12516823687752354
CAPTAIN MARVEL II,SHE-HULK,0.12516823687752354
IRON MAN,SPIDER-MAN,0.12516823687752354
FRENCHIE,MOON KNIGHT,0.12516823687752354
WARLOCK III,WOLFSBANE,0.12516823687752354
BLACK WIDOW,QUICKSILVER,0.12516823687752354
SPIDER-MAN,"STACY, GWEN",0.12382234185733512
BANSHEE,JUBILEE,0.12382234185733512
"WATSON, ANNA","WATSON-PARKER, MARY ",0.12382234185733512
NIGHTCRAWLER,PHOENIX III,0.12382234185733512
HULK,SPIDER-MAN,0.12382234185733512
IRON MAN,SHE-HULK,0.12382234185733512
HUMAN TORCH,MEDUSA,0.12382234185733512
BANSHEE,COLOSSUS II,0.12382234185733512
"JARVIS, EDWIN ",WONDER MAN,0.12382234185733512
HUMAN TORCH,SUB-MARINER,0.1224764468371467
DR. STRANGE,SUB-MARINER,0.1224764468371467
BLACK CAT,SPIDER-MAN,0.1224764468371467
JUBILEE,WOLVERINE,0.1224764468371467
GAMBIT,MARVEL GIRL,0.1224764468371467
HERCULES [GREEK GOD],QUICKSILVER,0.1224764468371467
INVISIBLE WOMAN,VISION ,0.1224764468371467
MARVEL GIRL,ROGUE ,0.12113055181695828
COLOSSUS II,HAVOK,0.12113055181695828
BLACK BOLT,TRITON,0.12113055181695828
GORGON [INHUMAN],TRITON,0.12113055181695828
MARVEL GIRL,PSYLOCKE,0.12113055181695828
SCARLET WITCH,SHE-HULK,0.12113055181695828
CANNONBALL II,MAGIK,0.12113055181695828
BEAST,PSYLOCKE,0.12113055181695828
"HUDSON, HEATHER",NORTHSTAR,0.11978465679676985
BEAST,THOR,0.11978465679676985
ANGEL,PSYLOCKE,0.11978465679676985
"FURY, COL. NICHOLAS ",IRON MAN,0.11978465679676985
HUMAN TORCH,WASP,0.11978465679676985
KARNAK [INHUMAN],TRITON,0.11978465679676985
BLACK WIDOW,WASP,0.11978465679676985
MR. FANTASTIC,VISION ,0.11978465679676985
HULK,MR. FANTASTIC,0.11843876177658143
CYCLOPS,PSYLOCKE,0.11843876177658143
HEIMDALL [ASGARDIAN],VOLSTAGG,0.11843876177658143
DR. OCTOPUS,SPIDER-MAN,0.11843876177658143
DR. STRANGE,NIGHTHAWK II,0.11843876177658143
THING,WASP,0.11843876177658143
"OSBORN, LIZ ALLAN","THOMPSON, EUGENE FLA",0.11843876177658143
MR. FANTASTIC,SCARLET WITCH,0.11843876177658143
HUMAN TORCH,SCARLET WITCH,0.11709286675639301
HERCULES [GREEK GOD],SCARLET WITCH,0.11709286675639301
MICROCHIP,PUNISHER II,0.11709286675639301
PHOENIX III,SHADOWCAT,0.11709286675639301
BOX IV,"HUDSON, HEATHER",0.11574697173620457
ANT-MAN,TIGRA,0.11574697173620457
IRON MAN,TIGRA,0.11574697173620457
MEDUSA,TRITON,0.11574697173620457
INVISIBLE WOMAN,SCARLET WITCH,0.11574697173620457
CYCLOPS,"SUMMERS, NATHAN CHRI",0.11574697173620457
CRYSTAL [INHUMAN],VISION ,0.11574697173620457
IRON MAN,USAGENT,0.11574697173620457
HAWK,SHE-HULK,0.11574697173620457
INVISIBLE WOMAN,WASP,0.11574697173620457
MR. FANTASTIC,SUB-MARINER,0.11440107671601615
MEDUSA,MR. FANTASTIC,0.11440107671601615
CYCLOPS,GAMBIT,0.11440107671601615
"HUDSON, HEATHER",SHAMAN,0.11440107671601615
MAGNETO,PROFESSOR X,0.11440107671601615
ANT-MAN,BLACK PANTHER,0.11440107671601615
MAGIK,WOLFSBANE,0.11440107671601615
HEIMDALL [ASGARDIAN],SIF,0.11440107671601615
"JAMESON, J. JONAH","URICH, BEN",0.11305518169582772
BALDER [ASGARDIAN],HEIMDALL [ASGARDIAN],0.11305518169582772
HULK,IRON MAN,0.11305518169582772
BEAST,COLOSSUS II,0.11305518169582772
GREEN GOBLIN,SPIDER-MAN,0.11305518169582772
NORTHSTAR,PUCK,0.1117092866756393
BALDER [ASGARDIAN],KARNILLA [ASGARDIAN],0.1117092866756393
CAPTAIN MARVEL II,THOR,0.1117092866756393
COUNTERWEIGHT,LIGHTSPEED,0.1117092866756393
AURORA,"HUDSON, HEATHER",0.1117092866756393
MAGIK,MIRAGE II,0.1117092866756393
BLACK PANTHER,WASP,0.1117092866756393
MOCKINGBIRD,TIGRA,0.1117092866756393
COUNTERWEIGHT II,GEE,0.1117092866756393
COUNTERWEIGHT,GEE,0.1117092866756393
GEE,LIGHTSPEED,0.1117092866756393
MAGNETO,STORM,0.1117092866756393
"MACTAGGERT, MOIRA KI",PROFESSOR X,0.11036339165545088
HAWK,HERCULES [GREEK GOD],0.11036339165545088
INVISIBLE WOMAN,LYJA LAZERFIST [SKRU,0.11036339165545088
COUNTERWEIGHT II,COUNTERWEIGHT,0.11036339165545088
COUNTERWEIGHT II,LIGHTSPEED,0.11036339165545088
SUB-MARINER,VASHTI,0.11036339165545088
CRYSTAL [INHUMAN],GORGON [INHUMAN],0.10901749663526245
NAMORITA,NOVA,0.10901749663526245
"KNIGHT, MISTY","WING, COLLEEN",0.10901749663526245
"ALRAUNE, MARLENE",MOON KNIGHT,0.10901749663526245
"PARKER, MAY","WATSON, ANNA",0.10901749663526245
CAPTAIN AMERICA,SERSI,0.10901749663526245
MIRAGE II,WARLOCK III,0.10901749663526245
FIRESTAR,NOVA,0.10901749663526245
"OSBORN, HARRY","PARKER, MAY",0.10767160161507403
CYPHER,WOLFSBANE,0.10767160161507403
CRYSTAL [INHUMAN],HERCULES [GREEK GOD],0.10767160161507403
"DUGAN, TIMOTHY ALOYI","JONES, GABE",0.10767160161507403
CANNONBALL II,"SUMMERS, NATHAN CHRI",0.10767160161507403
"JAMESON, J. JONAH","OSBORN, LIZ ALLAN",0.10767160161507403
LYJA LAZERFIST [SKRU,THING,0.10767160161507403
BLACK BOLT,CRYSTAL [INHUMAN],0.10767160161507403
BLACK KNIGHT V,CAPTAIN MARVEL II,0.10767160161507403
GAMBIT,PSYLOCKE,0.1063257065948856
HAVOK,PSYLOCKE,0.1063257065948856
HAWK,MR. FANTASTIC,0.1063257065948856
CRYSTAL [INHUMAN],KARNAK [INHUMAN],0.1063257065948856
MAGNETO,WOLVERINE,0.1063257065948856
CAPTAIN AMERICA,"JONES, RICHARD MILHO",0.1063257065948856
"ARBOGAST, BAMBI",IRON MAN,0.1063257065948856
HAWK,THING,0.1063257065948856
IRON FIST,"KNIGHT, MISTY",0.1063257065948856
"MACTAGGERT, MOIRA KI",WOLVERINE,0.10497981157469717
CAPTAIN AMERICA,REDWING,0.10497981157469717
HAVOK,MARVEL GIRL,0.10497981157469717
HERCULES [GREEK GOD],IRON MAN,0.10497981157469717
CAPTAIN AMERICA,"DUGAN, TIMOTHY ALOYI",0.10497981157469717
BOOMER,RICTOR,0.10497981157469717
MS. MARVEL II,THING,0.10497981157469717
KA-ZAR,SHANNA,0.10497981157469717
CAPTAIN AMERICA,WOLVERINE,0.10363391655450875
"LEEDS, NED",SPIDER-MAN,0.10363391655450875
SPIDER-MAN,WASP,0.10363391655450875
HELLCAT,"NORRISS, SISTER BARB",0.10363391655450875
CRYSTAL [INHUMAN],MEDUSA,0.10363391655450875
AURORA,PUCK,0.10363391655450875
NOVA,SPEEDBALL,0.10363391655450875
COLOSSUS II,MAGNETO,0.10363391655450875
HAVOK,ROGUE ,0.10363391655450875
CANNONBALL II,PROFESSOR X,0.10363391655450875
BEAST,"SUMMERS, NATHAN CHRI",0.10363391655450875
ENCHANTRESS,THOR,0.10363391655450875
MAGIK,SUNSPOT,0.10228802153432032
MARVEL GIRL,POLARIS,0.10228802153432032
BINARY,IRON MAN,0.10228802153432032
USAGENT,WONDER MAN,0.10228802153432032
SPIDER-MAN CLONE,"WATSON-PARKER, MARY ",0.10228802153432032
HULK,INVISIBLE WOMAN,0.10228802153432032
BANSHEE,NIGHTCRAWLER,0.10228802153432032
COLOSSUS II,GAMBIT,0.10228802153432032
BOOMER,SIRYN,0.1009421265141319
HERCULES [GREEK GOD],"JARVIS, EDWIN ",0.1009421265141319
KARNILLA [ASGARDIAN],THOR,0.1009421265141319
QUASAR III,VISION ,0.1009421265141319
BLACK KNIGHT V,WASP,0.1009421265141319
"MACTAGGERT, MOIRA KI",STORM,0.1009421265141319
THING,WOLVERINE,0.1009421265141319
CAPTAIN AMERICA,"ROSENTHAL, BERNIE",0.1009421265141319
BOOMER,"SUMMERS, NATHAN CHRI",0.1009421265141319
SHE-HULK,WONDER MAN,0.1009421265141319
